"S.No","Company","Ticker","Date","Call","1-Day Change Recommendation","1-Week Change Recommendation","1-Month Change Recommendation","1-Year Change Recommendation","1-Day Change Benchmark","1-Week Change Benchmark","1-Month Change Benchmark","1-Year Change Benchmark"
10495,"Adobe Systems ","ADBE","21/10/2020","Buy","-2.6%","-4.7%","-4.8%","33%","0.5%","-4.2%","4%","33%"
10496,"Teladoc ","TDOC","9/12/2019","Positive Mention","-0.4%","1.5%","9.3%","146%","-0.1%","1.9%","5%","19%"
10497,"Ford Motor ","F","21/12/2021","Buy","2.5%","2.1%","2.5%","-42%","1.1%","2.1%","-6%","-17%"
10498,"Netflix ","NFLX","6/3/2019","Positive Mention","-2.1%","1.8%","2.5%","5%","-0.7%","2.2%","5%","10%"
10499,"Southwest Airlines ","LUV","23/9/2021","Positive Mention","0.9%","2.8%","-10.2%","-41%","0.6%","-2.2%","3%","-17%"
10500,"Albemarle ","ALB","24/8/2021","Buy","2.0%","2.1%","-3.2%","27%","0.2%","0.6%","-1%","-5%"
10501,"Under Armour ","UAA","26/7/2017","Negative Mention","-1.3%","-5.7%","-12.8%","6%","-0.3%","-0.1%","-1%","16%"
10502,"Barrick Gold ","GOLD","20/3/2019","Buy","1.1%","4.5%","-2.3%","21%","1.5%","-1.4%","2%","-18%"
10503,"Activision Blizzard ","ATVI","31/8/2017","Buy","-0.8%","-0.3%","-2.7%","13%","0.0%","-0.5%","2%","19%"
10504,"Halozyme Therapeutics ","HALO","18/12/2017","Positive Mention","-0.3%","3.1%","-9.2%","-28%","-0.5%","0.0%","4%","-5%"
10505,"Kohl's ","KSS","1/6/2017","Buy","-1.3%","-1.4%","3.0%","93%","0.3%","-0.3%","0%","15%"
10506,"Idexx Laboratories ","IDXX","2/8/2017","Buy","1.7%","-2.0%","1.1%","57%","-0.1%","-1.3%","0%","17%"
10507,"Costco ","COST","19/7/2017","Buy","-0.3%","1.0%","4.4%","47%","-0.1%","0.0%","-2%","15%"
10508,"Dow ","DOW","2/3/2022","Buy","0.6%","1.6%","7.3%",,"-1.1%","-2.3%","5%","0%"
10509,"Platform Specialty Produc ","PAH","2/3/2017","Buy","0.6%","-3.2%","-2.7%","-16%","0.1%","-0.3%","-1%","16%"
10510,"Community Bank System ","CBU","14/9/2016","Positive Mention","0.9%","2.4%","0.2%","14%","1.1%","1.4%","-1%","19%"
10511,"PayPal ","PYPL","13/3/2019","Buy","-0.4%","5.2%","9.2%","11%","-0.1%","1.7%","4%","-2%"
10512,"Nutanix ","NTNX","23/9/2019","Buy","-3.5%","-1.0%","10.7%","-16%","-1.2%","-0.9%","2%","11%"
10513,"Apple ","AAPL","17/1/2018","Buy","-0.1%","-4.5%","-3.7%","-11%","-0.1%","1.5%","-3%","-3%"
10514,"Home Depot ","HD","12/7/2017","Buy","0.3%","-4.1%","0.6%","33%","0.2%","1.1%","1%","17%"
10515,"Spectra Energy Partners ","SEP","15/5/2018","Sell","-0.4%","-4.3%","-2.7%",,"0.4%","0.4%","2%","8%"
10516,"VF Corp ","VFC","25/5/2017","Sell","0.8%","1.2%","7.2%","56%","0.1%","1.0%","1%","13%"
10517,"Dollar General ","DG","16/3/2017","Buy","-1.3%","-3.9%","-4.1%","32%","-0.3%","-1.3%","-1%","16%"
10518,"Expedia ","EXPE","20/12/2017","Buy","-0.1%","1.0%","6.8%","-7%","-0.1%","0.1%","6%","-8%"
10519,"Centene ","CNC","26/11/2019","Buy","0.5%","-0.8%","5.3%","5%","0.3%","-1.3%","3%","18%"
10520,"Take-Two Interactive ","TTWO","21/6/2021","Buy","0.3%","2.2%","-1.7%","-26%","0.5%","1.1%","3%","-10%"
10521,"Snap-on ","SNA","21/4/2016","Buy","0.1%","-0.9%","1.3%","11%","0.2%","-1.3%","-2%","16%"
10522,"Abiomed ","ABMD","7/2/2020","Sell","-7.0%","-2.9%","-10.2%","87%","1.0%","0.6%","-18%","19%"
10523,"Paychex ","PAYX","25/3/2020","Buy","9.1%","-7.1%","4.4%","59%","4.7%","-3.6%","10%","54%"
10524,"Mine Safety Appliances ","MSA","10/2/2020","Buy","0.3%","-0.3%","-31.4%","22%","-0.3%","0.4%","-26%","19%"
10525,"Deere & Company ","DE","13/4/2022","Buy","2.1%","-2.8%","-14.3%",,"-1.3%","0.1%","-9%","0%"
10526,"Papa Johns Pizza ","PZZA","12/10/2020","Buy","3.0%","-6.4%","0.3%","53%","-0.6%","-1.9%","1%","26%"
10527,"Tattooed Chef ","TTCF","20/7/2021","Sell","-0.5%","-2.2%","-15.6%","-66%","0.5%","1.0%","2%","-7%"
10528,"Merck ","MRK","4/1/2017","Hold","-0.2%","3.5%","8.0%","-2%","0.1%","0.1%","1%","23%"
10529,"Oneok ","OKE","10/9/2019","Buy","0.6%","3.3%","-6.1%","-61%","0.6%","0.3%","-1%","13%"
10530,"Lockheed Martin ","LMT","4/1/2017","Buy","0.6%","-1.3%","-0.3%","32%","0.1%","0.1%","1%","23%"
10531,"Bristol-Myers Squibb ","BMY","30/6/2016","Buy","0.2%","2.0%","3.3%","-22%","0.2%","1.3%","3%","18%"
10532,"DocuSign ","DOCU","5/11/2021","Sell","2.2%","-3.7%","-47.5%","-84%","-0.2%","-0.3%","-2%","-18%"
10533,"Plug Power ","PLUG","5/4/2021","Negative Mention","3.5%","-15.5%","-34.9%","-18%","0.1%","1.7%","3%","11%"
10534,"Exxon Mobil ","XOM","9/1/2017","Negative Mention","-1.4%","1.7%","-3.9%","4%","0.0%","-0.1%","2%","23%"
10535,"Walmart ","WMT","11/7/2019","Buy","0.4%","-0.6%","-7.7%","15%","0.3%","-1.2%","-4%","7%"
10536,"Ventas ","VTR","4/8/2016","Buy","-1.6%","2.3%","1.9%","-5%","0.8%","0.1%","0%","16%"
10537,"Cisco Systems ","CSCO","16/10/2017","Buy","0.0%","2.9%","6.8%","41%","0.1%","0.4%","1%","12%"
10538,"Waste Management ","WM","4/5/2021","Buy","0.4%","-2.4%","-0.2%","14%","-0.4%","-2.5%","2%","1%"
10539,"Fitbit ","FIT","9/12/2019","Sell","0.9%","-2.4%","-2.1%","6%","-0.1%","1.9%","5%","19%"
10540,"Domino's Pizza ","DPZ","17/8/2020","Buy","0.4%","1.9%","-3.8%","29%","0.1%","1.6%","-1%","32%"
10541,"Becton Dickinson ","BDX","31/7/2017","Buy","-0.2%","-2.3%","-0.9%","26%","-0.1%","0.0%","0%","16%"
10542,"Alteryx ","AYX","20/12/2019","Buy","1.9%","-3.6%","22.7%","25%","-0.1%","0.0%","3%","17%"
10543,"Parsley Energy ","PE","15/4/2020","Positive Mention","-6.8%","32.4%","53.1%",,"0.0%","0.0%","6%","52%"
10544,"Palo Alto Networks ","PANW","29/11/2021","Buy","-0.9%","-4.3%","2.6%","-7%","-1.4%","2.8%","5%","-9%"
10545,"Autodesk ","ADSK","31/8/2017","Buy","-0.8%","0.6%","-1.1%","35%","0.0%","-0.5%","2%","19%"
10546,"Zoetis ","ZTS","9/1/2017","Buy","-0.2%","-1.3%","4.0%","38%","0.0%","-0.1%","2%","23%"
10547,"Ollie's Bargain Outlet ","OLLI","23/4/2019","Positive Mention","2.6%","-2.4%","4.3%","-38%","-0.2%","-0.1%","-3%","-3%"
10548,"Caterpillar ","CAT","23/7/2021","Buy","0.6%","-2.8%","-0.9%","-12%","0.4%","-0.8%","1%","-9%"
10549,"NVIDIA ","NVDA","12/4/2021","Buy","2.9%","-3.2%","-12.8%","42%","0.3%","-0.2%","-1%","9%"
10550,"Regeneron Pharmaceuticals ","REGN","6/1/2017","Positive Mention","-1.2%","2.3%","2.0%","5%","-0.2%","-0.1%","1%","23%"
10551,"CSX ","CSX","18/4/2018","Buy","0.1%","-3.2%","4.6%","30%","-0.3%","-1.0%","2%","10%"
10552,"HSBC 0ings ","HSBC","27/3/2017","Sell","0.7%","-1.3%","0.9%","22%","0.9%","0.1%","1%","13%"
10553,"Goldman Sachs ","GS","12/7/2021","Positive Mention","-1.3%","-3.0%","10.4%","-21%","-0.1%","-1.0%","2%","-12%"
10554,"Under Armour ","UAA","12/12/2017","Buy","0.1%","11.4%","11.0%","38%","-0.1%","0.6%","5%","1%"
10555,"AMC Networks ","AMCX","12/6/2019","Sell","1.5%","0.9%","1.6%","-50%","0.1%","2.2%","4%","7%"
10556,"Constellation Brands ","STZ","21/6/2019","Positive Mention","-1.5%","8.2%","11.0%","1%","-0.2%","0.7%","1%","8%"
10557,"Marvell Technology ","MRVL","22/3/2021","Buy","-3.3%","2.6%","-2.1%","50%","-0.6%","1.3%","6%","15%"
10558,"United Parcel Service ","UPS","27/3/2018","Negative Mention","0.4%","3.6%","11.0%","11%","-0.4%","1.4%","3%","10%"
10559,"Activision Blizzard ","ATVI","19/7/2017","Buy","-0.6%","0.1%","1.1%","31%","-0.1%","0.0%","-2%","15%"
10560,"Amgen ","AMGN","6/1/2017","Buy","1.2%","-2.5%","4.9%","17%","-0.2%","-0.1%","1%","23%"
10561,"Union Pacific ","UNP","5/8/2020","Buy","1.1%","5.6%","5.6%","25%","0.9%","0.7%","0%","34%"
10562,"Oracle ","ORCL","28/10/2019","Positive Mention","0.1%","1.6%","2.4%","3%","0.1%","1.3%","4%","10%"
10563,"BJ's Wholesale Club ","BJ","13/7/2021","Buy","-0.4%","4.6%","5.5%","47%","-0.3%","-0.4%","2%","-12%"
10564,"Starwood Property Trust ","STWD","10/1/2019","Buy","1.2%","1.7%","6.6%","30%","0.5%","2.9%","4%","29%"
10565,"Advanced Micro Devices ","AMD","30/3/2020","Buy","-5.1%","4.6%","15.2%","73%","-1.1%","2.9%","13%","56%"
10566,"Chipotle Mexican Grill ","CMG","27/4/2016","Buy","1.3%","2.7%","4.4%","12%","-0.5%","-1.2%","1%","17%"
10567,"EPR Properties ","EPR","18/7/2019","Buy","-2.8%","1.8%","4.3%","-56%","-1.0%","1.6%","-2%","11%"
10568,"Amarin ","AMRN","18/8/2020","Sell","1.2%","1.7%","-39.8%","-22%","-0.5%","3.1%","-2%","32%"
10569,"Vtex ","VTEX","3/12/2021","Negative Mention","1.6%","8.1%","-23.7%","-72%","0.6%","1.7%","4%","-12%"
10570,"Constellation Brands ","STZ","5/11/2019","Positive Mention","0.6%","-4.4%","-4.6%","-3%","0.0%","0.7%","3%","16%"
10571,"Starbucks ","SBUX","1/6/2016","Buy","-0.5%","1.8%","3.9%","20%","0.5%","0.6%","-1%","18%"
10572,"Apple ","AAPL","5/1/2017","Buy","1.0%","1.0%","10.5%","50%","0.3%","-0.1%","1%","23%"
10573,"Starbucks ","SBUX","27/8/2019","Buy","0.9%","-1.0%","-9.0%","-12%","1.0%","1.8%","3%","23%"
10574,"United Technologies ","UTX","23/5/2019","Buy","0.6%","-3.9%","-0.9%","1%","-0.3%","-2.7%","4%","8%"
10575,"Alibaba ","BABA","31/8/2017","Buy","-0.6%","-1.2%","1.5%","0%","0.0%","-0.5%","2%","19%"
10576,"Martin Marietta Materials ","MLM","31/7/2019","Buy","-1.5%","2.7%","7.0%","-14%","-0.9%","-0.4%","-1%","13%"
10577,"Costco ","COST","12/4/2021","Buy","0.0%","1.8%","4.1%","63%","0.3%","-0.2%","-1%","9%"
10578,"Paychex ","PAYX","3/10/2017","Buy","0.9%","1.4%","3.0%","19%","0.2%","0.7%","2%","16%"
10579,"Quest Diagnostics ","DGX","8/12/2020","Positive Mention","-0.1%","-2.6%","-1.0%","29%","-1.1%","0.9%","4%","29%"
10580,"Zoetis ","ZTS","22/8/2018","Buy","-0.1%","0.2%","0.0%","38%","-0.1%","1.6%","2%","2%"
10581,"Pepsico ","PEP","4/2/2022","Buy","-0.5%","-3.0%","-4.8%",,"-0.5%","-1.8%","-6%","0%"
10582,"Intel ","INTC","24/7/2017","Positive Mention","0.3%","4.8%","0.9%","55%","-0.1%","0.0%","-1%","17%"
10583,"WD-40 ","WDFC","21/10/2020","Buy","1.1%","6.8%","7.0%","-7%","0.5%","-4.2%","4%","33%"
10584,"Humana ","HUM","23/4/2019","Positive Mention","0.4%","-1.5%","5.4%","48%","-0.2%","-0.1%","-3%","-3%"
10585,"HSBC 0ings ","HSBC","2/11/2017","Sell","-0.1%","0.8%","2.0%","-9%","0.3%","-0.1%","2%","8%"
10586,"Merck ","MRK","4/5/2021","Positive Mention","2.1%","0.4%","0.0%","23%","-0.4%","-2.5%","2%","1%"
10587,"Ventas ","VTR","17/10/2018","Buy","-0.1%","2.8%","11.8%","38%","-1.1%","-2.3%","-3%","10%"
10588,"B&G Foods ","BGS","5/1/2018","Buy","-3.5%","-1.9%","-6.7%","-9%","0.2%","1.1%","-4%","-5%"
10589,"Amazon ","AMZN","24/10/2016","Buy","-0.5%","-6.0%","-6.6%","16%","-0.2%","-1.5%","3%","22%"
10590,"Honeywell ","HON","6/11/2017","Buy","0.8%","0.2%","4.8%","9%","-0.1%","-0.4%","2%","11%"
10591,"United Natural Foods ","UNFI","9/9/2016","Negative Mention","0.4%","-6.0%","-2.2%","-14%","1.9%","-0.9%","0%","18%"
10592,"Norwegian Cruise Line ","NCLH","5/5/2017","Buy","-0.8%","-6.5%","-8.7%","-9%","0.0%","0.3%","2%","13%"
10593,"NVIDIA ","NVDA","17/4/2019","Buy","-0.7%","0.3%","-18.5%","57%","0.0%","0.7%","-2%","1%"
10594,"Hanesbrands ","HBI","21/7/2020","Buy","1.1%","4.2%","12.7%","32%","0.7%","-0.5%","4%","35%"
10595,"ZIM Integrated Shipping ","ZIM","3/5/2022","Negative Mention","3.7%","-9.8%","8.7%",,"2.9%","-8.5%","-4%","0%"
10596,"PetMed Express ","PETS","11/5/2018","Sell","-0.2%","5.2%","19.7%","-43%","-0.1%","0.1%","2%","5%"
10597,"American International Gr ","AIG","4/5/2017","Buy","-0.1%","-2.7%","1.8%","-13%","0.2%","-0.3%","2%","13%"
10598,"Boeing ","BA","20/10/2017","Buy","-1.1%","-1.2%","1.4%","39%","-0.5%","0.2%","1%","9%"
10599,"KLA Corp ","KLAC","4/12/2019","Buy","0.6%","6.2%","8.4%","66%","-0.1%","1.6%","4%","21%"
10600,"Tesla ","TSLA","24/5/2021","Buy","-0.4%","3.2%","12.4%","9%","-0.5%","0.3%","2%","-4%"
10601,"Walt Disney ","DIS","16/3/2017","Buy","-0.1%","0.3%","1.8%","-8%","-0.3%","-1.3%","-1%","16%"
10602,"KB Home ","KBH","3/1/2020","Buy","2.0%","-1.1%","6.1%","-5%","1.0%","1.3%","0%","16%"
10603,"Medtronic ","MDT","21/9/2018","Buy","0.9%","1.2%","-4.8%","15%","-0.1%","0.2%","-6%","5%"
10604,"Allscripts Healthcare ","MDRX","10/10/2017","Sell","-0.6%","0.0%","-9.7%","-5%","0.2%","0.3%","1%","9%"
10605,"ZELTIQ Aesthetics ","ZLTQ","13/2/2017","Buy","-0.7%","-0.6%","0.0%",,"0.5%","1.2%","2%","18%"
10606,"FedEx ","FDX","18/12/2019","Sell","0.0%","3.7%","7.1%","90%","0.3%","1.1%","4%","18%"
10607,"Teradyne ","TER","9/8/2021","Sell","-2.9%","-5.2%","-2.6%","-19%","0.0%","0.3%","1%","-4%"
10608,"United Continental ","UAL","21/11/2019","Buy","0.7%","1.1%","-2.5%","-55%","0.0%","1.1%","4%","17%"
10609,"Roblox ","RBLX","22/3/2021","Buy","-3.0%","-4.2%","2.7%","-25%","-0.6%","1.3%","6%","15%"
10610,"The Blackstone Group ","BX","16/1/2018","Buy","-0.3%","3.2%","1.3%","0%","0.6%","1.3%","-2%","-4%"
10611,"Walmart ","WMT","6/4/2021","Buy","-0.4%","-0.3%","0.7%","14%","0.2%","1.2%","4%","12%"
10612,"Hanesbrands ","HBI","8/12/2020","Negative Mention","1.0%","-1.4%","8.4%","27%","-1.1%","0.9%","4%","29%"
10613,"Raytheon Technologies ","RTX","23/7/2020","Buy","-1.8%","-8.7%","0.4%","42%","0.0%","1.8%","7%","40%"
10614,"American Electric Power ","AEP","30/1/2019","Buy","2.4%","1.3%","3.8%","36%","0.9%","0.1%","4%","21%"
10615,"Dominion Energy ","D","3/1/2018","Buy","-0.6%","-0.8%","-2.8%","-1%","0.2%","1.7%","-3%","-5%"
10616,"Eli Lilly ","LLY","26/9/2017","Buy","0.4%","2.7%","-0.9%","29%","0.1%","1.2%","3%","18%"
10617,"General Dynamics ","GD","29/4/2016","Positive Mention","0.8%","0.8%","0.0%","39%","0.5%","-1.0%","1%","17%"
10618,"Target ","TGT","1/6/2020","Positive Mention","-0.7%","1.6%","0.2%","95%","0.5%","4.1%","2%","39%"
10619,"Take-Two Interactive ","TTWO","31/1/2018","Buy","-1.7%","-17.0%","-10.2%","-16%","0.2%","-8.5%","-3%","-2%"
10620,"Stamps.com ","STMP","21/11/2017","Sell","0.2%","0.0%","3.4%","-10%","-0.1%","1.1%","4%","3%"
10621,"Philip Morris Internation ","PM","7/6/2021","Negative Mention","-2.3%","4.2%","3.3%","13%","-0.2%","0.5%","2%","-1%"
10622,"3M ","MMM","31/8/2017","Buy","-0.5%","1.0%","4.5%","5%","0.0%","-0.5%","2%","19%"
10623,"FS KKR Capital ","FSK","24/2/2022","Sell","3.2%","6.6%","6.9%",,"1.9%","-1.3%","4%","0%"
10624,"United Technologies ","UTX","27/2/2017","Positive Mention","-0.4%","-0.2%","-0.1%","22%","-0.1%","0.2%","0%","17%"
10625,"Home Depot ","HD","5/10/2020","Buy","-2.1%","5.0%","3.4%","22%","-1.5%","4.5%","5%","32%"
10626,"Cintas ","CTAS","21/9/2018","Buy","-0.4%","-6.2%","-15.4%","22%","-0.1%","0.2%","-6%","5%"
10627,"L3Harris Technologies ","LHX","6/1/2020","Buy","0.3%","0.0%","6.2%","-12%","-0.1%","1.5%","3%","18%"
10628,"Advanced Micro Devices ","AMD","18/8/2020","Buy","-0.8%","6.1%","-7.6%","28%","-0.5%","3.1%","-2%","32%"
10629,"Ross Stores ","ROST","11/11/2016","Hold","-0.2%","6.8%","6.2%","3%","-0.2%","1.6%","4%","22%"
10630,"Coca-Cola ","KO","8/2/2019","Positive Mention","0.1%","-9.6%","-6.9%","24%","-0.2%","2.7%","3%","26%"
10631,"Canadian National Railway ","CNI","27/7/2016","Sell","-0.3%","-2.8%","2.9%","27%","0.2%","-0.2%","1%","16%"
10632,"Carrizo Oil & Gas ","CRZO","3/2/2017","Buy","-2.8%","-1.3%","-7.8%","-46%","0.0%","1.7%","4%","18%"
10633,"U.S. Concrete ","USCR","18/9/2017","Buy","1.4%","0.3%","8.3%","-26%","0.0%","-0.4%","2%","18%"
10634,"EPR Properties ","EPR","24/1/2019","Buy","0.4%","2.4%","4.8%","7%","0.1%","1.6%","5%","24%"
10635,"Brunswick ","BC","12/8/2021","Buy","-0.9%","-5.4%","-7.0%","-18%","0.1%","-0.6%","0%","-2%"
10636,"Walmart ","WMT","17/11/2021","Buy","0.7%","1.2%","-2.4%","7%","0.1%","-2.3%","-3%","-14%"
10637,"New Relic ","NEWR","12/9/2017","Buy","-0.6%","-3.7%","1.7%","118%","0.2%","0.5%","2%","18%"
10638,"Gilead Sciences ","GILD","4/2/2022","Sell","-0.4%","-4.2%","-5.5%",,"-0.5%","-1.8%","-6%","0%"
10639,"California Water Service ","CWT","11/6/2019","Negative Mention","1.9%","-1.1%","0.3%","-9%","-0.1%","1.6%","5%","6%"
10640,"Sirius XM Radio ","SIRI","14/1/2020","Positive Mention","0.7%","0.4%","0.7%","-18%","0.3%","1.0%","3%","18%"
10641,"Exxon Mobil ","XOM","4/1/2019","Buy","0.4%","0.2%","4.6%","4%","0.7%","1.2%","7%","30%"
10642,"Plug Power ","PLUG","16/12/2020","Buy","7.3%","16.4%","117.4%","-3%","0.1%","-0.4%","2%","26%"
10643,"Microsoft ","MSFT","13/6/2016","Buy","-0.1%","2.7%","7.8%","45%","0.0%","0.7%","4%","20%"
10644,"FedEx ","FDX","1/8/2017","Buy","1.2%","-1.6%","2.6%","16%","0.0%","-0.1%","0%","16%"
10645,"Microsoft ","MSFT","14/2/2020","Buy","0.9%","-8.5%","-27.5%","32%","0.1%","-4.2%","-29%","19%"
10646,"e.l.f. Beauty ","ELF","3/2/2022","Buy","-0.1%","-5.2%","-19.2%",,"0.5%","-1.8%","-7%","0%"
10647,"Southwest Airlines ","LUV","6/1/2017","Buy","0.6%","-0.1%","5.5%","28%","-0.2%","-0.1%","1%","23%"
10648,"Cadence Systems ","CDNS","6/12/2017","Buy","1.4%","-0.8%","3.1%","-2%","0.0%","0.6%","4%","2%"
10649,"Cedar Fair ","FUN","11/1/2018","Buy","0.1%","2.2%","2.8%","-12%","0.5%","0.9%","-5%","-6%"
10650,"Public Storage ","PSA","12/5/2016","Buy","-1.2%","-3.6%","-7.5%","-17%","-0.7%","0.4%","2%","20%"
10651,"Humana ","HUM","31/8/2017","Positive Mention","0.3%","-0.8%","-5.2%","30%","0.0%","-0.5%","2%","19%"
10652,"Cardlytics ","CDLX","13/2/2020","Negative Mention","5.3%","-2.3%","-55.5%","58%","0.0%","-1.2%","-29%","18%"
10653,"Visa ","V","16/12/2019","Buy","-0.5%","1.1%","8.3%","13%","-0.1%","1.0%","4%","18%"
10654,"3M ","MMM","12/12/2017","Buy","0.9%","-0.9%","2.2%","-13%","-0.1%","0.6%","5%","1%"
10655,"Apple ","AAPL","5/5/2016","Buy","-0.7%","-2.4%","6.4%","67%","0.8%","-0.5%","3%","19%"
10656,"Visa ","V","16/7/2019","Buy","-0.2%","2.3%","-0.4%","9%","-0.7%","1.2%","-3%","10%"
10657,"United Rentals ","URI","29/8/2017","Buy","3.6%","1.7%","16.4%","31%","0.5%","0.4%","3%","20%"
10658,"FleetCor Technologies ","FLT","5/6/2019","Buy","-0.3%","8.6%","15.7%","12%","0.5%","1.7%","5%","14%"
10659,"Devon Energy ","DVN","17/3/2022","Buy","1.2%","7.3%","9.0%",,"1.5%","1.8%","-1%","0%"
10660,"Scotts Miracle-Gro ","SMG","12/4/2017","Buy","-0.3%","3.7%","-6.1%","-9%","-0.5%","1.2%","3%","16%"
10661,"Eli Lilly ","LLY","12/6/2019","Positive Mention","-3.1%","3.3%","-3.0%","31%","0.1%","2.2%","4%","7%"
10662,"Arthur J. Gallagher ","AJG","5/8/2019","Buy","2.3%","1.6%","1.8%","21%","0.7%","1.7%","3%","18%"
10663,"Bank of America ","BAC","3/6/2016","Sell","0.6%","-6.3%","-12.3%","57%","0.3%","-1.4%","-1%","18%"
10664,"AbbVie ","ABBV","21/11/2019","Buy","-0.7%","2.0%","4.9%","25%","0.0%","1.1%","4%","17%"
10665,"Intuitive Surgical ","ISRG","20/4/2022","Buy","-2.9%","-17.4%","-24.8%",,"-2.3%","-2.3%","-9%","0%"
10666,"Bristol-Myers Squibb ","BMY","13/7/2020","Buy","0.1%","3.3%","9.2%","21%","1.8%","1.9%","6%","39%"
10667,"Boeing ","BA","3/8/2017","Buy","-0.4%","-0.6%","0.3%","49%","0.0%","-1.3%","-1%","17%"
10668,"Bed Bath & Beyond ","BBBY","12/5/2017","Negative Mention","-0.5%","-1.8%","1.4%","-51%","0.3%","-0.3%","1%","16%"
10669,"Macquarie Infrastructure ","MIC","20/11/2017","Negative Mention","-0.4%","0.8%","-0.8%","-32%","0.3%","1.1%","3%","4%"
10670,"Allstate ","ALL","13/2/2017","Buy","0.1%","1.0%","4.3%","21%","0.5%","1.2%","2%","18%"
10671,"Universal Display ","OLED","17/11/2017","Buy","0.1%","2.4%","-1.7%","-52%","0.1%","0.7%","4%","6%"
10672,"Southern Company ","SO","21/5/2018","Buy","0.1%","1.7%","4.0%","31%","-0.5%","-1.3%","1%","7%"
10673,"Energy Transfer ","ET","13/1/2021","Sell","-1.7%","-7.2%","-0.2%","44%","-0.6%","1.5%","4%","24%"
10674,"Toll Brothers ","TOL","14/9/2016","Buy","2.3%","-1.5%","-4.3%","33%","1.1%","1.4%","-1%","19%"
10675,"Azek Company ","AZEK","28/10/2021","Buy","1.2%","6.4%","10.0%","-52%","0.7%","2.0%","1%","-15%"
10676,"HP ","HPQ","31/10/2016","Buy","-1.1%","6.5%","4.9%","54%","-0.9%","1.5%","4%","24%"
10677,"Hasbro ","HAS","5/6/2018","Buy","1.4%","2.6%","8.6%","21%","0.6%","0.2%","0%","5%"
10678,"Celgene ","CELG","11/10/2016","Negative Mention","-1.7%","-0.1%","19.3%","38%","0.1%","0.3%","1%","22%"
10679,"Verizon ","VZ","5/5/2016","Buy","0.4%","-0.4%","-0.8%","-5%","0.8%","-0.5%","3%","19%"
10680,"Workday ","WDAY","25/2/2022","Negative Mention","1.6%","-2.0%","6.6%",,"1.1%","-3.9%","5%","0%"
10681,"American International Gr ","AIG","3/11/2016","Buy","-1.5%","10.4%","11.9%","11%","-0.2%","3.8%","6%","27%"
10682,"Boot Barn ","BOOT","3/12/2021","Buy","0.9%","-5.1%","0.8%","-46%","0.6%","1.7%","4%","-12%"
10683,"Nio ","NIO","1/3/2022","Sell","-0.6%","-7.3%","0.7%",,"1.3%","-2.4%","4%","0%"
10684,"Lowe's ","LOW","1/11/2016","Positive Mention","1.3%","1.9%","8.6%","17%","-0.4%","3.2%","5%","25%"
10685,"Salesforce ","CRM","18/10/2021","Buy","0.1%","0.9%","3.6%","-47%","0.4%","1.2%","4%","-17%"
10686,"Cypress Semiconductor ","CY","19/7/2017","Buy","2.1%","-1.9%","-13.3%","18%","-0.1%","0.0%","-2%","15%"
10687,"Martin Marietta Materials ","MLM","16/6/2021","Buy","-2.0%","6.7%","1.0%","-9%","0.1%","1.1%","1%","-12%"
10688,"Equifax ","EFX","19/9/2017","Sell","1.1%","10.9%","14.6%","41%","0.0%","0.0%","3%","19%"
10689,"Sterling Construction ","STRL","23/10/2017","Buy","2.2%","19.5%","16.1%","-27%","0.0%","0.2%","1%","5%"
10690,"Edwards Lifesciences ","EW","31/10/2017","Buy","-0.5%","3.4%","14.3%","49%","-0.2%","0.6%","3%","8%"
10691,"Zoe's Kitchen ","ZOES","27/10/2016","Positive Mention","0.7%","-0.7%","15.2%","-44%","-0.3%","-1.9%","4%","23%"
10692,"Supernus Pharmaceuticals ","SUPN","9/11/2017","Positive Mention","1.8%","2.0%","1.9%","20%","0.1%","-0.1%","3%","8%"
10693,"Yext ","YEXT","1/5/2017","Negative Mention","-2.9%","-2.3%","3.9%","-8%","0.0%","0.3%","2%","12%"
10694,"Kroger ","KR","9/11/2017","Sell","0.5%","6.6%","21.1%","45%","0.1%","-0.1%","3%","8%"
10695,"CSX ","CSX","13/9/2018","Buy","0.3%","0.7%","-3.6%","0%","-0.1%","0.8%","-5%","5%"
10696,"IBM ","IBM","4/10/2017","Negative Mention","0.0%","0.2%","2.8%","6%","0.4%","0.0%","2%","15%"
10697,"Honeywell ","HON","19/12/2016","Buy","0.2%","-0.6%","0.2%","34%","0.1%","-0.1%","0%","20%"
10698,"NVIDIA ","NVDA","11/11/2016","Positive Mention","-5.1%","11.2%","7.3%","155%","-0.2%","1.6%","4%","22%"
10699,"EOG Resources ","EOG","16/5/2016","Positive Mention","1.0%","1.1%","-1.7%","15%","-0.8%","1.5%","2%","18%"
10700,"Johnson & Johnson ","JNJ","18/7/2019","Sell","-1.5%","0.3%","1.5%","18%","-1.0%","1.6%","-2%","11%"
10701,"Jack Henry & Associates ","JKHY","20/12/2019","Positive Mention","-0.5%","-0.6%","2.2%","9%","-0.1%","0.0%","3%","17%"
10702,"Nordstrom ","JWN","26/8/2020","Sell","0.5%","7.1%","-17.0%","98%","-0.1%","-0.8%","-4%","31%"
10703,"Edwards Lifesciences ","EW","8/10/2018","Buy","0.4%","-0.6%","6.2%","52%","0.0%","-2.4%","-2%","3%"
10704,"JetBlue Airways ","JBLU","23/5/2017","Positive Mention","1.2%","0.2%","0.1%","-15%","0.1%","0.3%","2%","16%"
